"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,13,0.001,0,3,0.992748345561019,0.859082525371092
15,13,0.001,0,4,0.999999999699176,0.822712094263418
15,13,0.001,0,5,0.999999999909936,0.306906849839296
15,14,0.001,0,1,0.999999999914333,0.644685776294632
15,14,0.001,0,2,0.999999999907149,0.747194801888851
15,14,0.001,0,3,0.999999999854805,0.437947267892786
15,14,0.001,0,4,0.999999999895107,0.820000842858493
15,14,0.001,0,5,0.999999999899823,0.216965130099015
15,15,0.001,0,1,0.999999999083205,0.862181716417324
15,15,0.001,0,2,0.999999999915671,0.713930302006177
15,15,0.001,0,3,0.992927762070845,0.786311224672783
15,15,0.001,0,4,0.999999999746025,0.749213440013572
15,15,0.001,0,5,0.999999999885539,0.747632989850429
15,1,0.00316227766016838,0,1,0.999999990876347,0.868207711898897
15,1,0.00316227766016838,0,2,0.999999998979722,0.821808115313978
15,1,0.00316227766016838,0,3,0.99304217079259,0.602799991069245
15,1,0.00316227766016838,0,4,0.999999996053202,0.818243597334289
15,1,0.00316227766016838,0,5,0.999999998851737,0.653299680944193
15,2,0.00316227766016838,0,1,0.999999988755486,0.91395435466131
15,2,0.00316227766016838,0,2,0.999999998782611,0.379312302251729
15,2,0.00316227766016838,0,3,0.992959321387146,0.855398467221511
15,2,0.00316227766016838,0,4,0.999999997668118,0.436482936690881
15,2,0.00316227766016838,0,5,0.999999998710909,0.566412925679633
15,3,0.00316227766016838,0,1,0.999999999126727,0.932699029740395
15,3,0.00316227766016838,0,2,0.9999999990948,0.708836248688355
15,3,0.00316227766016838,0,3,0.999999998541728,0.202201095471714
15,3,0.00316227766016838,0,4,0.9999999989077,0.328635623609957
15,3,0.00316227766016838,0,5,0.999999998952016,0.705053283414085
15,4,0.00316227766016838,0,1,0.999999991169323,0.882154963865548
15,4,0.00316227766016838,0,2,0.999999999047437,0.687593642317829
15,4,0.00316227766016838,0,3,0.993079713045281,0.66532415507205
15,4,0.00316227766016838,0,4,0.999999996909078,0.799995210507996
15,4,0.00316227766016838,0,5,0.99999999866357,0.694347322080745
15,5,0.00316227766016838,0,1,0.999999989460589,0.659492965746232
15,5,0.00316227766016838,0,2,0.999999999096656,0.526721840810142
15,5,0.00316227766016838,0,3,0.993183398706824,0.317625232295142
15,5,0.00316227766016838,0,4,0.999999997146684,0.450390009210329
15,5,0.00316227766016838,0,5,0.999999999004298,-0.0086888776533667
15,6,0.00316227766016838,0,1,0.999999993944084,0.40339817436556
15,6,0.00316227766016838,0,2,0.999999998992892,0.851591628431397
15,6,0.00316227766016838,0,3,0.99244365933434,0.640600243924032
15,6,0.00316227766016838,0,4,0.999999997926639,0.597112608764252
15,6,0.00316227766016838,0,5,0.999999998853858,0.288935568564568
15,7,0.00316227766016838,0,1,0.999999991319492,0.898521268822485
15,7,0.00316227766016838,0,2,0.999999999029947,0.771250926982269
15,7,0.00316227766016838,0,3,0.992648680651707,0.856640940644732
15,7,0.00316227766016838,0,4,0.999999996885493,0.696396659951296
15,7,0.00316227766016838,0,5,0.999999998713632,0.797580468940844
15,8,0.00316227766016838,0,1,0.999999989471633,0.948711146701409
15,8,0.00316227766016838,0,2,0.999999998904443,0.691647682661873
15,8,0.00316227766016838,0,3,0.993171884561887,0.714203065371275
15,8,0.00316227766016838,0,4,0.999999996413224,0.827066952395709
15,8,0.00316227766016838,0,5,0.999999998846369,0.596071299401828
15,9,0.00316227766016838,0,1,0.999999989354611,0.843841447305816
15,9,0.00316227766016838,0,2,0.999999999043076,0.648765303928353
15,9,0.00316227766016838,0,3,0.9932138047693,0.681563916274186
15,9,0.00316227766016838,0,4,0.99999999700532,0.671848355896134
15,9,0.00316227766016838,0,5,0.999999998892694,0.862953130746793
15,10,0.00316227766016838,0,1,0.999999990503566,0.81802030971322
15,10,0.00316227766016838,0,2,0.99999999888562,0.72639858951844
15,10,0.00316227766016838,0,3,0.993009350821065,0.710200589826676
15,10,0.00316227766016838,0,4,0.999999996389165,0.714081387571041
15,10,0.00316227766016838,0,5,0.999999998793591,0.504452400373111
15,11,0.00316227766016838,0,1,0.999999990145081,0.797717788182893
15,11,0.00316227766016838,0,2,0.999999999048111,0.810049391174573
15,11,0.00316227766016838,0,3,0.993162751887908,0.678662200139892
15,11,0.00316227766016838,0,4,0.999999997190476,-0.0791645555051296
15,11,0.00316227766016838,0,5,0.99999999865453,0.715580936609379
15,12,0.00316227766016838,0,1,0.999999989476233,0.882010109848016
15,12,0.00316227766016838,0,2,0.9999999990133,0.714951277970411
15,12,0.00316227766016838,0,3,0.992992059616029,0.703594563998919
15,12,0.00316227766016838,0,4,0.999999997263858,0.851714202986622
15,12,0.00316227766016838,0,5,0.999999998850601,0.403455135163672
15,13,0.00316227766016838,0,1,0.999999990245383,0.91182755635516
15,13,0.00316227766016838,0,2,0.999999999037507,0.544210667343639
15,13,0.00316227766016838,0,3,0.992748353834385,0.858964686875761
15,13,0.00316227766016838,0,4,0.999999996995687,0.822737850439402
15,13,0.00316227766016838,0,5,0.99999999909951,0.306907565949948
15,14,0.00316227766016838,0,1,0.99999999914348,0.644691470543415
15,14,0.00316227766016838,0,2,0.999999999071668,0.747194662208243
